period,source_id,url,method,status,http_code,content_type,bytes,retrieved_path,error,notes
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=01,GET,fetched,200,application/json;charset=UTF-8,2192,raw_sources\twse_mi_index_20150105_01.json,,TWSE official daily by-industry close table probe. parsed_rows=7 title=104年01月05日 每日收盤行情(水泥工業)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,GET,fetched,200,application/json;charset=UTF-8,4339,raw_sources\twse_mi_index_20150105_02.json,,TWSE official daily by-industry close table probe. parsed_rows=22 title=104年01月05日 每日收盤行情(食品工業)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=03,GET,fetched,200,application/json;charset=UTF-8,4449,raw_sources\twse_mi_index_20150105_03.json,,TWSE official daily by-industry close table probe. parsed_rows=21 title=104年01月05日 每日收盤行情(塑膠工業)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=04,GET,fetched,200,application/json;charset=UTF-8,6865,raw_sources\twse_mi_index_20150105_04.json,,TWSE official daily by-industry close table probe. parsed_rows=39 title=104年01月05日 每日收盤行情(紡織纖維)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=05,GET,fetched,200,application/json;charset=UTF-8,54,raw_sources\twse_mi_index_20150105_05.json,,TWSE official daily by-industry close table probe. parsed_rows=0 title=
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=06,GET,fetched,200,application/json;charset=UTF-8,62,raw_sources\twse_mi_index_20150105_06.json,,TWSE official daily by-industry close table probe. parsed_rows=0 title=
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=08,GET,fetched,200,application/json;charset=UTF-8,1875,raw_sources\twse_mi_index_20150105_08.json,,TWSE official daily by-industry close table probe. parsed_rows=5 title=104年01月05日 每日收盤行情(玻璃陶瓷)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=09,GET,fetched,200,application/json;charset=UTF-8,2180,raw_sources\twse_mi_index_20150105_09.json,,TWSE official daily by-industry close table probe. parsed_rows=7 title=104年01月05日 每日收盤行情(造紙工業)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=10,GET,fetched,200,application/json;charset=UTF-8,5524,raw_sources\twse_mi_index_20150105_10.json,,TWSE official daily by-industry close table probe. parsed_rows=29 title=104年01月05日 每日收盤行情(鋼鐵工業)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=11,GET,fetched,200,application/json;charset=UTF-8,2675,raw_sources\twse_mi_index_20150105_11.json,,TWSE official daily by-industry close table probe. parsed_rows=10 title=104年01月05日 每日收盤行情(橡膠工業)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=12,GET,fetched,200,application/json;charset=UTF-8,4481,raw_sources\twse_mi_index_20150105_12.json,,TWSE official daily by-industry close table probe. parsed_rows=22 title=104年01月05日 每日收盤行情(汽車工業)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=14,GET,fetched,200,application/json;charset=UTF-8,9311,raw_sources\twse_mi_index_20150105_14.json,,TWSE official daily by-industry close table probe. parsed_rows=55 title=104年01月05日 每日收盤行情(建材營造)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=15,GET,fetched,200,application/json;charset=UTF-8,4355,raw_sources\twse_mi_index_20150105_15.json,,TWSE official daily by-industry close table probe. parsed_rows=21 title=104年01月05日 每日收盤行情(航運業)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=16,GET,fetched,200,application/json;charset=UTF-8,3236,raw_sources\twse_mi_index_20150105_16.json,,TWSE official daily by-industry close table probe. parsed_rows=14 title=104年01月05日 每日收盤行情(觀光餐旅)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=17,GET,fetched,200,application/json;charset=UTF-8,6716,raw_sources\twse_mi_index_20150105_17.json,,TWSE official daily by-industry close table probe. parsed_rows=35 title=104年01月05日 每日收盤行情(金融保險)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=18,GET,fetched,200,application/json;charset=UTF-8,3387,raw_sources\twse_mi_index_20150105_18.json,,TWSE official daily by-industry close table probe. parsed_rows=15 title=104年01月05日 每日收盤行情(貿易百貨)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=20,GET,fetched,200,application/json;charset=UTF-8,6765,raw_sources\twse_mi_index_20150105_20.json,,TWSE official daily by-industry close table probe. parsed_rows=38 title=104年01月05日 每日收盤行情(其他)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=21,GET,fetched,200,application/json;charset=UTF-8,4932,raw_sources\twse_mi_index_20150105_21.json,,TWSE official daily by-industry close table probe. parsed_rows=25 title=104年01月05日 每日收盤行情(化學工業)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=22,GET,fetched,200,application/json;charset=UTF-8,5087,raw_sources\twse_mi_index_20150105_22.json,,TWSE official daily by-industry close table probe. parsed_rows=26 title=104年01月05日 每日收盤行情(生技醫療業)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=23,GET,fetched,200,application/json;charset=UTF-8,2344,raw_sources\twse_mi_index_20150105_23.json,,TWSE official daily by-industry close table probe. parsed_rows=8 title=104年01月05日 每日收盤行情(油電燃氣業)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=24,GET,fetched,200,application/json;charset=UTF-8,11801,raw_sources\twse_mi_index_20150105_24.json,,TWSE official daily by-industry close table probe. parsed_rows=69 title=104年01月05日 每日收盤行情(半導體業)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=25,GET,fetched,200,application/json;charset=UTF-8,9436,raw_sources\twse_mi_index_20150105_25.json,,TWSE official daily by-industry close table probe. parsed_rows=55 title=104年01月05日 每日收盤行情(電腦及週邊設備業)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=26,GET,fetched,200,application/json;charset=UTF-8,11297,raw_sources\twse_mi_index_20150105_26.json,,TWSE official daily by-industry close table probe. parsed_rows=67 title=104年01月05日 每日收盤行情(光電業)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=27,GET,fetched,200,application/json;charset=UTF-8,6921,raw_sources\twse_mi_index_20150105_27.json,,TWSE official daily by-industry close table probe. parsed_rows=38 title=104年01月05日 每日收盤行情(通信網路業)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=28,GET,fetched,200,application/json;charset=UTF-8,14684,raw_sources\twse_mi_index_20150105_28.json,,TWSE official daily by-industry close table probe. parsed_rows=89 title=104年01月05日 每日收盤行情(電子零組件業)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=29,GET,fetched,200,application/json;charset=UTF-8,4114,raw_sources\twse_mi_index_20150105_29.json,,TWSE official daily by-industry close table probe. parsed_rows=20 title=104年01月05日 每日收盤行情(電子通路業)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=30,GET,fetched,200,application/json;charset=UTF-8,2781,raw_sources\twse_mi_index_20150105_30.json,,TWSE official daily by-industry close table probe. parsed_rows=11 title=104年01月05日 每日收盤行情(資訊服務業)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=31,GET,fetched,200,application/json;charset=UTF-8,6193,raw_sources\twse_mi_index_20150105_31.json,,TWSE official daily by-industry close table probe. parsed_rows=34 title=104年01月05日 每日收盤行情(其他電子業)
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=32,GET,fetched,200,application/json;charset=UTF-8,637,raw_sources\twse_mi_index_20150105_32.json,,TWSE official daily by-industry close table probe. parsed_rows=0 title=
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=33,GET,fetched,200,application/json;charset=UTF-8,637,raw_sources\twse_mi_index_20150105_33.json,,TWSE official daily by-industry close table probe. parsed_rows=0 title=
2015-01-05,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=34,GET,fetched,200,application/json;charset=UTF-8,637,raw_sources\twse_mi_index_20150105_34.json,,TWSE official daily by-industry close table probe. parsed_rows=0 title=
2020-01-02,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20200102&type=01,GET,fetched,200,application/json;charset=UTF-8,2319,raw_sources\twse_mi_index_20200102_01.json,,TWSE official daily by-industry close table probe. parsed_rows=7 title=109年01月02日 每日收盤行情(水泥工業)
2020-01-02,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20200102&type=02,GET,fetched,200,application/json;charset=UTF-8,4517,raw_sources\twse_mi_index_20200102_02.json,,TWSE official daily by-industry close table probe. parsed_rows=23 title=109年01月02日 每日收盤行情(食品工業)
2020-01-02,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20200102&type=03,GET,fetched,200,application/json;charset=UTF-8,4407,raw_sources\twse_mi_index_20200102_03.json,,TWSE official daily by-industry close table probe. parsed_rows=21 title=109年01月02日 每日收盤行情(塑膠工業)
2020-01-02,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20200102&type=04,GET,fetched,200,application/json;charset=UTF-8,6772,raw_sources\twse_mi_index_20200102_04.json,,TWSE official daily by-industry close table probe. parsed_rows=40 title=109年01月02日 每日收盤行情(紡織纖維)
2020-01-02,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20200102&type=05,GET,fetched,200,application/json;charset=UTF-8,8072,raw_sources\twse_mi_index_20200102_05.json,,TWSE official daily by-industry close table probe. parsed_rows=46 title=109年01月02日 每日收盤行情(電機機械)
2020-01-02,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20200102&type=06,GET,fetched,200,application/json;charset=UTF-8,3359,raw_sources\twse_mi_index_20200102_06.json,,TWSE official daily by-industry close table probe. parsed_rows=15 title=109年01月02日 每日收盤行情(電器電纜)
2020-01-02,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20200102&type=08,GET,fetched,200,application/json;charset=UTF-8,1811,raw_sources\twse_mi_index_20200102_08.json,,TWSE official daily by-industry close table probe. parsed_rows=5 title=109年01月02日 每日收盤行情(玻璃陶瓷)
2020-01-02,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20200102&type=09,GET,fetched,200,application/json;charset=UTF-8,2191,raw_sources\twse_mi_index_20200102_09.json,,TWSE official daily by-industry close table probe. parsed_rows=7 title=109年01月02日 每日收盤行情(造紙工業)
2020-01-02,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20200102&type=10,GET,fetched,200,application/json;charset=UTF-8,5654,raw_sources\twse_mi_index_20200102_10.json,,TWSE official daily by-industry close table probe. parsed_rows=30 title=109年01月02日 每日收盤行情(鋼鐵工業)
2020-01-02,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20200102&type=11,GET,fetched,200,application/json;charset=UTF-8,2744,raw_sources\twse_mi_index_20200102_11.json,,TWSE official daily by-industry close table probe. parsed_rows=11 title=109年01月02日 每日收盤行情(橡膠工業)
2020-01-02,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20200102&type=12,GET,fetched,200,application/json;charset=UTF-8,5769,raw_sources\twse_mi_index_20200102_12.json,,TWSE official daily by-industry close table probe. parsed_rows=31 title=109年01月02日 每日收盤行情(汽車工業)
2020-01-02,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20200102&type=14,GET,fetched,200,application/json;charset=UTF-8,9256,raw_sources\twse_mi_index_20200102_14.json,,TWSE official daily by-industry close table probe. parsed_rows=55 title=109年01月02日 每日收盤行情(建材營造)
2020-01-02,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20200102&type=15,GET,fetched,200,application/json;charset=UTF-8,4767,raw_sources\twse_mi_index_20200102_15.json,,TWSE official daily by-industry close table probe. parsed_rows=24 title=109年01月02日 每日收盤行情(航運業)
2020-01-02,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20200102&type=16,GET,fetched,200,application/json;charset=UTF-8,3527,raw_sources\twse_mi_index_20200102_16.json,,TWSE official daily by-industry close table probe. parsed_rows=16 title=109年01月02日 每日收盤行情(觀光餐旅)
2020-01-02,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20200102&type=17,GET,fetched,200,application/json;charset=UTF-8,8116,raw_sources\twse_mi_index_20200102_17.json,,TWSE official daily by-industry close table probe. parsed_rows=35 title=109年01月02日 每日收盤行情(金融保險)
2020-01-02,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20200102&type=18,GET,fetched,200,application/json;charset=UTF-8,3800,raw_sources\twse_mi_index_20200102_18.json,,TWSE official daily by-industry close table probe. parsed_rows=18 title=109年01月02日 每日收盤行情(貿易百貨)
2020-01-02,twse_mi_index_industry_daily,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20200102&type=20,GET,fetched,200,application/json;charset=UTF-8,8581,raw_sources\twse_mi_index_20200102_20.json,,TWSE official daily by-industry close table probe. parsed_rows=49 title=109年01月02日 每日收盤行情(其他)
