ticker,accepted_adjusted_sessions_through_20260720,minimum_required_sessions,ready_for_frozen_low_base,readiness_reason
0050,129,119,True,ready
1101,129,119,True,ready
1102,129,119,True,ready
1216,129,119,True,ready
1301,129,119,True,ready
1303,129,119,True,ready
1314,129,119,True,ready
1326,129,119,True,ready
1402,129,119,True,ready
1409,129,119,True,ready
1476,129,119,True,ready
1504,129,119,True,ready
1513,129,119,True,ready
1519,129,119,True,ready
1560,129,119,True,ready
1590,129,119,True,ready
1785,129,119,True,ready
1802,129,119,True,ready
1810,129,119,True,ready
1815,129,119,True,ready
2002,129,119,True,ready
2049,129,119,True,ready
2059,129,119,True,ready
2103,129,119,True,ready
2105,129,119,True,ready
2301,129,119,True,ready
2303,129,119,True,ready
2308,129,119,True,ready
2313,129,119,True,ready
2317,129,119,True,ready
2324,129,119,True,ready
2327,129,119,True,ready
2330,129,119,True,ready
2332,129,119,True,ready
2337,129,119,True,ready
2344,129,119,True,ready
2345,129,119,True,ready
2347,129,119,True,ready
2351,129,119,True,ready
2353,129,119,True,ready
2356,129,119,True,ready
2357,129,119,True,ready
2359,129,119,True,ready
2360,129,119,True,ready
2367,129,119,True,ready
2368,129,119,True,ready
2369,129,119,True,ready
2375,129,119,True,ready
2376,129,119,True,ready
2377,129,119,True,ready
2379,129,119,True,ready
2382,129,119,True,ready
2383,129,119,True,ready
2388,129,119,True,ready
2395,129,119,True,ready
2404,129,119,True,ready
2408,129,119,True,ready
2409,129,119,True,ready
2412,129,119,True,ready
2441,129,119,True,ready
2449,129,119,True,ready
2451,129,119,True,ready
2454,129,119,True,ready
2455,129,119,True,ready
2458,129,119,True,ready
2464,129,119,True,ready
2467,129,119,True,ready
2472,129,119,True,ready
2478,129,119,True,ready
2481,129,119,True,ready
2484,129,119,True,ready
2486,129,119,True,ready
2492,129,119,True,ready
2493,129,119,True,ready
2603,129,119,True,ready
2609,129,119,True,ready
2610,129,119,True,ready
2618,129,119,True,ready
2630,129,119,True,ready
2634,129,119,True,ready
2645,129,119,True,ready
2834,129,119,True,ready
2880,129,119,True,ready
2881,129,119,True,ready
2882,129,119,True,ready
2883,129,119,True,ready
2884,129,119,True,ready
2885,129,119,True,ready
2886,129,119,True,ready
2887,129,119,True,ready
2890,129,119,True,ready
2891,129,119,True,ready
2892,129,119,True,ready
2912,129,119,True,ready
3005,129,119,True,ready
3006,129,119,True,ready
3008,129,119,True,ready
3016,129,119,True,ready
3017,129,119,True,ready
3026,129,119,True,ready
3030,129,119,True,ready
3033,129,119,True,ready
3034,129,119,True,ready
3035,129,119,True,ready
3036,129,119,True,ready
3037,129,119,True,ready
3042,129,119,True,ready
3044,129,119,True,ready
3045,129,119,True,ready
3081,129,119,True,ready
3090,129,119,True,ready
3094,129,119,True,ready
3105,129,119,True,ready
3131,129,119,True,ready
3149,129,119,True,ready
3163,129,119,True,ready
3167,129,119,True,ready
3189,129,119,True,ready
3211,129,119,True,ready
3221,129,119,True,ready
3227,129,119,True,ready
3231,129,119,True,ready
3260,129,119,True,ready
3264,129,119,True,ready
3293,129,119,True,ready
3324,129,119,True,ready
3357,129,119,True,ready
3362,129,119,True,ready
3363,129,119,True,ready
3374,129,119,True,ready
3406,129,119,True,ready
3413,129,119,True,ready
3443,129,119,True,ready
3450,129,119,True,ready
3481,129,119,True,ready
3491,129,119,True,ready
3529,129,119,True,ready
3532,129,119,True,ready
3533,129,119,True,ready
3551,129,119,True,ready
3583,129,119,True,ready
3624,129,119,True,ready
3653,129,119,True,ready
3661,129,119,True,ready
3665,129,119,True,ready
3680,129,119,True,ready
3702,129,119,True,ready
3706,129,119,True,ready
3707,129,119,True,ready
3711,129,119,True,ready
3715,129,119,True,ready
4541,129,119,True,ready
4749,129,119,True,ready
4764,129,119,True,ready
4904,129,119,True,ready
4916,129,119,True,ready
4919,129,119,True,ready
4931,129,119,True,ready
4938,129,119,True,ready
4939,129,119,True,ready
4958,129,119,True,ready
4979,129,119,True,ready
4991,129,119,True,ready
5269,129,119,True,ready
5274,129,119,True,ready
5289,129,119,True,ready
5328,129,119,True,ready
5347,129,119,True,ready
5351,129,119,True,ready
5371,129,119,True,ready
5386,129,119,True,ready
5425,129,119,True,ready
5434,129,119,True,ready
5483,129,119,True,ready
5536,129,119,True,ready
5871,129,119,True,ready
5876,129,119,True,ready
5904,129,119,True,ready
6139,129,119,True,ready
6147,129,119,True,ready
6173,129,119,True,ready
6175,129,119,True,ready
6182,129,119,True,ready
6187,129,119,True,ready
6191,129,119,True,ready
6196,129,119,True,ready
6197,129,119,True,ready
6202,129,119,True,ready
6207,129,119,True,ready
6213,129,119,True,ready
6223,129,119,True,ready
6239,129,119,True,ready
6257,129,119,True,ready
6271,129,119,True,ready
6274,129,119,True,ready
6278,129,119,True,ready
6282,129,119,True,ready
6285,129,119,True,ready
6290,129,119,True,ready
6409,129,119,True,ready
6414,129,119,True,ready
6415,129,119,True,ready
6442,129,119,True,ready
6446,129,119,True,ready
6451,129,119,True,ready
6472,129,119,True,ready
6488,129,119,True,ready
6505,129,119,True,ready
6510,129,119,True,ready
6515,129,119,True,ready
6525,129,119,True,ready
6531,129,119,True,ready
6533,129,119,True,ready
6548,129,119,True,ready
6669,129,119,True,ready
6683,129,119,True,ready
6691,129,119,True,ready
6770,129,119,True,ready
6781,129,119,True,ready
6789,129,119,True,ready
6805,129,119,True,ready
6829,129,119,True,ready
6907,110,119,False,insufficient accepted adjusted history; see blocked ledger
6919,129,119,True,ready
6949,129,119,True,ready
7610,129,119,True,ready
7734,129,119,True,ready
7769,129,119,True,ready
7799,129,119,True,ready
7828,129,119,True,ready
8028,129,119,True,ready
8033,129,119,True,ready
8039,129,119,True,ready
8042,129,119,True,ready
8043,129,119,True,ready
8046,129,119,True,ready
8069,129,119,True,ready
8081,129,119,True,ready
8091,129,119,True,ready
8112,129,119,True,ready
8131,129,119,True,ready
8150,129,119,True,ready
8210,129,119,True,ready
8261,129,119,True,ready
8299,129,119,True,ready
8358,129,119,True,ready
8383,129,119,True,ready
8932,129,119,True,ready
8996,129,119,True,ready
9904,129,119,True,ready
9914,129,119,True,ready
